groupID,number_in_party,arrival_date,stay_length,state_name,country1
1,1,2021-01-26,0,Arizona,Mexico
2,1,2021-01-26,0,Arizona,Mexico
3,1,2021-01-29,1,Utah,Venezuela
4,1,2021-01-29,0,California,Mexico
5,1,2021-02-01,1,Arizona,Cuba
6,1,2021-02-01,5,Maryland,Guatemala
7,4,2021-02-02,1,Texas,Venezuela
8,1,2021-02-02,1,Florida,Cuba
9,1,2021-02-02,1,Tennessee,Venezuela
10,1,2021-02-02,1,New Jersey,Ecuador
11,3,2021-02-02,1,Florida,Cuba
12,3,2021-02-02,1,Texas,Venezuela
13,3,2021-02-03,1,Tennessee,Venezuela
14,3,2021-02-03,2,Florida,Venezuela
15,2,2021-02-03,1,New York,Ecuador
16,4,2021-02-03,1,Florida,Venezuela
17,2,2021-02-03,1,California,Guatemala
18,1,2021-02-03,0,Texas,Cuba
19,3,2021-02-05,0,Texas,Venezuela
20,1,2021-02-05,0,Florida,Cuba
21,5,2021-02-05,1,Idaho,Venezuela
22,5,2021-02-05,1,Colorado,Venezuela
23,4,2021-02-06,1,Texas,Venezuela
24,3,2021-02-06,1,Texas,Venezuela
25,2,2021-02-06,1,Colorado,Venezuela
26,1,2021-02-06,1,Florida,Guatemala
27,2,2021-02-06,1,Texas,Venezuela
28,1,2021-02-07,1,New York,Ecuador
29,1,2021-02-07,0,Arizona,Mexico
30,2,2021-02-07,1,California,Mexico
31,3,2021-02-07,1,Nebraska,El Salvador
32,1,2021-02-09,32,New Jersey,Ecuador
33,1,2021-02-09,1,Florida,Cuba
34,3,2021-02-09,0,Arizona,Venezuela
35,1,2021-02-09,0,Florida,Cuba
36,2,2021-02-09,0,Arizona,Venezuela
37,2,2021-02-09,1,Texas,Venezuela
38,1,2021-02-10,3,New Jersey,Guatemala
39,4,2021-02-10,1,Florida,Cuba
40,2,2021-02-10,3,Utah,Venezuela
41,3,2021-02-10,0,Massachusetts,Ecuador
42,1,2021-02-10,1,New Jersey,Ecuador
43,3,2021-02-11,0,Texas,Venezuela
44,3,2021-02-11,0,Washington,Venezuela
45,3,2021-02-11,0,Arizona,Cuba
46,1,2021-02-11,2,NA,Mexico
47,1,2021-02-12,1,New York,Ecuador
48,1,2021-02-12,1,Florida,Venezuela
49,1,2021-02-12,7,Florida,Mexico
50,2,2021-02-13,1,Florida,Venezuela
51,2,2021-02-13,0,Florida,Venezuela
52,2,2021-02-13,3,Florida,Venezuela
53,1,2021-02-13,1,New York,Ecuador
54,2,2021-02-14,5,North Carolina,Nicaragua
55,1,2021-02-14,2,NA,Honduras
56,2,2021-02-15,1,Virginia,Venezuela
57,3,2021-02-15,1,Tennessee,Venezuela
58,3,2021-02-15,1,Connecticut,Ecuador
59,4,2021-02-15,0,California,Venezuela
60,1,2021-02-15,2,Florida,Cuba
61,3,2021-02-15,1,Florida,Cuba
62,3,2021-02-16,1,Texas,Venezuela
63,2,2021-02-16,3,Massachusetts,Ecuador
64,3,2021-02-16,3,New York,Ecuador
65,4,2021-02-16,0,Florida,Nicaragua
66,3,2021-02-16,0,Florida,Cuba
67,2,2021-02-16,0,California,Romania
68,3,2021-02-16,0,Florida,Cuba
69,1,2021-02-16,8,North Carolina,Guatemala
70,3,2021-02-17,11,Maryland,El Salvador
71,3,2021-02-17,1,Oregon,Venezuela
72,3,2021-02-17,1,Florida,Venezuela
73,2,2021-02-17,1,Florida,Venezuela
74,6,2021-02-17,0,Utah,Venezuela
75,3,2021-02-17,6,New York,Ecuador
76,2,2021-02-17,1,New York,Ecuador
77,1,2021-02-17,1,Indiana,Venezuela
78,1,2021-02-17,8,Florida,Mexico
