,,
,Timeline points from: https://investigativereportingworkshop.org/news/timeline-bidens-immigration-policy/,
date,description,category
01/20/2021,"BIDEN’S EXECUTIVE ACTIONS END TRAVEL BANS, HALT BORDER WALL CONSTRUCTION",Domestic
01/20/2021,DHS ANNOUNCES SUSPENSION OF ENROLLMENTS IN MIGRANT PROTECTION PROTOCOLS PROGRAM ,"MPP (""Remain in Mexico"")"
02/01/2021,DHS SUPPORTS VACCINE DISTRIBUTION FOR UNDOCUMENTED IMMIGRANTS,Domestic
02/02/2021,BIDEN SIGNS THREE EXECUTIVE IMMIGRATION ORDERS,Domestic
02/18/2021,DEMOCRATS INTRODUCE BIDEN’S IMMIGRATION REFORM BILL,Domestic
02/24/2021,BIDEN RESCINDS TRUMP’S BAN ON GREEN CARD APPLICANTS,Domestic
03/04/2021,BIDEN ADMINISTRATION PLANS TO SHORTEN DETENTION OF MIGRANT FAMILIES,Detention
03/08/2021,BIDEN GRANTS VENEZUELANS TEMPORARY PROTECTED STATUS FOR 18 MONTHS,Temporary Protected Status
03/09/2021,FLORIDA SUES TO STOP BIDEN IMMIGRATION DIRECTIVES,Domestic
03/18/2021,U.S. SEEKS HELP ON IMMIGRATION ENFORCEMENT FROM MEXICO,International
03/31/2021,"OVER 4,000 MIGRANTS CROWDED IN TEXAS DETENTION FACILITY ",Detention
04/16/2021,WHITE HOUSE ANNOUNCES IT WILL KEEP TRUMP ADMINISTRATION REFUGEE CAP,Domestic
05/03/2021,BIDEN REVERSES TRUMP-ERA REFUGEE CAP,Domestic
05/22/2021,BIDEN EXTENDS TPS FOR HAITIANS,Temporary Protected Status
05/28/2021,SCOTUS RULES AUTHORITIES MUST INCLUDE ALL HEARING INFORMATION IN SINGLE DOCUMENT,Domestic
06/07/2021,"HARRIS TELLS MIGRANTS: ‘DO NOT COME,’ ",International
06/08/2021,TEXAS GOVERNOR ORDERS STATE TO PULL LICENSES FOR SHELTERS HOUSING MIGRANT CHILDREN,Domestic
06/16/2021,GARLAND RESCINDS TRUMP ASYLUM RESTRICTIONS,Domestic
06/25/2021,BORDER ARRESTS SURPASS 1 MILLION IN FY 2021,Domestic
07/09/2021,BIDEN ENDS DETENTION FOR PREGNANT UNDOCUMENTED IMMIGRANTS,Detention
07/13/2021,DHS VACCINATES DETAINED IMMIGRANTS,Detention
07/30/2021,BIDEN RESUMES EXPEDITED DEPORTATIONS,Domestic
08/02/2021,ACLU SUES OVER TITLE 42 POLICY,Title 42
08/18/2021,BIDEN ADMINISTRATION SEEKS TO SPEED REVIEW OF ASYLUM CASES,Domestic
08/24/2021,COURT REQUIRES ADMINISTRATION TO REINSTATE ‘REMAIN IN MEXICO’,"MPP (""Remain in Mexico"")"
09/16/2021,JUDGE BLOCKS USE OF TITLE 42,Title 42
09/17/2021,THOUSANDS OF HAITIANS HELD UNDER BRIDGE,International
09/20/2021,PHOTOS SHOW BORDER PATROL WHIPPING AT MIGRANTS WHILE ON HORSEBACK,Domestic
09/24/2021,DEL RIO BRIDGE CAMP EMPTY FOLLOWING HAITIAN SURGE,International
10/01/2021,APPEALS COURT ALLOWS ADMINISTRATION TO USE TITLE 42,Title 42
10/09/2021,BLINKEN WARNS HAITIANS AGAINST JOURNEY,Domestic
10/15/2021,DHS ANNOUNCED RESTART OF 'REMAIN IN MEXICO',"MPP (""Remain in Mexico"")"
10/21/2021,APPEALS COURT HALTS ORDER MANDATING COVID PROTECTIONS FOR DETAINEES,Detention
10/22/2021,BORDER ARRESTS REACH ALL-TIME HIGH,Domestic
10/25/2021,HOUSE FIND FLAWS IN DISCIPLINARY PROCESS AT CBP,Domestic
10/26/2021,BIDEN AIMS TO SOFTEN TRUMP POLICY,"MPP (""Remain in Mexico"")"
10/27/2021,ADMINISTRATION WIDENS SCOPE OF TPS,Temporary Protected Status
10/29/2021,TRYING AGAIN TO END ‘REMAIN IN MEXICO’,"MPP (""Remain in Mexico"")"
11/16/2021,COUNTRIES REFUSE TO WELCOME MIGRANTS BACK,International
11/24/2021,TRUMP'S ‘REMAIN IN MEXICO’ POLICY TO RESTART,"MPP (""Remain in Mexico"")"
12/01/2021,COVID-19 ‘RADICALLY ALTERED MOBILITY’ GLOBALLY,International
12/02/2021,"""REMAIN IN MEXICO"" POLICY RESUMES","MPP (""Remain in Mexico"")"
12/16/2021,UNDOCUMENTED FAMILIES NO LONGER HELD,Detention
12/20/2021,"BIDEN TO ADD 20,000 GUEST-WORKER VISAS",Domestic
12/24/2021,BIDEN TO LIFT TRAVEL RESTRICTIONS ON AFRICAN COUNTRIES,International
